DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2012,7.3,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2013,7.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2014,6.8,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2015,6.8,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2016,6.5,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2017,6.0,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2018,5.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2019,5.8,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2020,6.1,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,AT,2021,5.8,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2012,8.8,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2013,8.6,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2014,8.4,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2015,8.0,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2016,7.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2017,7.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2018,7.1,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2019,6.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BE,2020,7.4,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2012,3.4,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2013,3.7,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2014,3.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2015,3.8,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2016,3.5,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2017,3.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2018,3.7,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2019,2.8,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,BG,2020,3.5,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2012,10.1,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2013,8.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2014,9.1,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2015,9.1,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2016,7.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2017,7.3,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2018,7.0,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2019,7.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CY,2020,7.6,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2012,6.7,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2013,5.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2014,5.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2015,4.7,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2016,4.6,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2017,4.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2018,4.4,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2019,4.4,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,CZ,2020,5.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2012,6.7,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2013,6.5,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2014,6.3,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2015,5.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2016,5.8,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2017,5.7,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2018,5.7,p
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2019,5.8,p
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DE,2020,6.1,p
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2012,9.2,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2013,7.5,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2014,7.3,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2015,7.4,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2016,6.6,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2017,5.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2018,6.3,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2019,5.9,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2020,6.3,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,DK,2021,6.0,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,EA19,2012,7.4,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,EA19,2013,7.3,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,EA19,2014,7.1,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,EA19,2015,6.6,
ESTAT:GOV_10A_EXP$DEFAULTVIEW(1.0),03/01/23 11:00:00,A,PC_GDP,S13,GF01,TE,EA19,2016,6.4,
